"","scientific_name","body_mass","beak_peak_length","wing_length","tail_length","tarsus_length","clutch_num","egg_volume","nest_shape","nest_site","flock_status","migration_status","body_length_log"
"1287","Chalcoparia singalensis",0.0707762557077626,13.625,51.875,43.125,17,2.5,1411.99,"2","4","1","R",4.69592454925656
"1288","Anthreptes malacensis",0.0840740733333333,NA,67.1,39.6,16.4,2,1250.69,"2","4","","R",4.90527477843843
"1289","Hypogramma hypogrammicum",0.083532219574336,22.66666667,65.33333333,52,15.33333333,2,1551.42,"2","4","1","R",4.93925863149269
"1290","Cinnyris jugularis",0.0638297872340425,16.125,49,33.375,14.75,3,1047.21,"2","4","0","R",4.66107781792639
"1291","Cinnyris asiaticus",0.0675883256497696,17.375,54.25,34.75,15,2.5,1185.91,"2","4","1","R",4.68675017298051
"1292","Aethopyga gouldiae",0.0588235294117647,15,52,55.625,14.125,2.5,1031.95,"2","3","1","R",4.8142148129228
"1293","Aethopyga nipalensis",0.053388090349076,20.25,50,55.125,14.5,2.5,1491.09,"2","4","0","R",4.8019697619627
"1294","Aethopyga christinae",0.0686015831134565,14.25,47.5,36.75,14.25,2.5,739.63,"2","4","1","R",4.55124184396254
"1295","Aethopyga saturata",0.0570824524312896,18.625,51,53.75,14.75,2.5,1142.44,"2","4","1","R",4.77280102737204
"1296","Aethopyga siparaja",0.0529531568228106,16.875,51.125,51.5,14,2.5,1197.07,"2","4","0","R",4.81014976667463
"1297","Aethopyga ignicauda",0.0539629005059022,17.25,55,77.5,15.125,2.5,1498.13,"2","4","1","R",4.99890003787783
"1298","Arachnothera longirostra",0.0861678004761905,35,65.16666667,43.66666667,16.33333333,2,1882.06,"2","4","0","R",4.99043258677874
"1299","Arachnothera magna",0.185385656292287,41.25,87.25,49,20.25,2.5,3319.5,"2","4","0","R",5.21900355982831
"1300","Prunella collaris",0.209469153515065,12,98,69.5,22.25,4,3389.97,"2","1","1","RSW",5.16049104964063
"1301","Prunella himalayana",0.200312989045383,11.33333333,90.25,77.66666667,21,5,2662.2,"2","1","1,2","RS",5.07361009325764
"1302","Prunella rubeculoides",0.151757188498403,11,74.5,68.5,23.25,2.5,2220.58,"2","3","1","R",5.05305600998021
"1303","Prunella strophiata",0.131438721136767,11,64.75,60.25,20.5,4.5,2421.23,"2","3","1","R",4.9469852670198
"1304","Prunella montanella",0.11965811965812,10.75,72.5,64,19,5,2199.12,"2","3","1","WPV",4.98531748611197
"1305","Prunella fulvescens",0.118556701030928,10.75,75,66.75,19.75,4.5,2409.75,"2","1","1","RSW",4.98017608661155
"1306","Prunella atrogularis",0.125806451612903,9.5,72.5,61,21,4.5,3065.97,"2","3","1","RS",5.04342511691925
"1307","Prunella koslowi",0.104452054794521,10.25,70,65.25,20,2.5,2596.77,"2","3","1","R",4.98360662170834
"1308","Prunella immaculata",0.131578947368421,12.25,77.75,59,21.5,4,2507.1,"2","3","1","R",4.95934199970871
"1309","Urocynchramus pylzowi",0.110759493670886,10.65,72.75,86.75,23.25,2.7,2868.22,"2","4","0","R",5.06259503302697
"1310","Ploceus manyar",0.16551724137931,17,69,42.5,21.5,2,2939.67,"2","1","1","R",4.97673374242057
"1311","Ploceus philippinus",0.16580310880829,16.5,71.5,50.25,20.125,3,2627.62,"2","4","1","R",4.9750081164531
