"","scientific_name","body_mass","beak_peak_length","wing_length","tail_length","tarsus_length","clutch_num","egg_volume","nest_shape","nest_site","flock_status","migration_status","body_length_log"
"1","Arborophila torqueola",1.27570518653321,18.25,143,66.25,42.25,4,21070.63,"2","1","1","R",5.61586159328373
"2","Arborophila rufipectus",1.3383208645054,19,148.5,69.25,40.25,5,25351.08,"2","1","1","R",5.70627935485479
"3","Arborophila rufogularis",1.0366266544783,17.525,139.75,55.66666667,41.375,4.5,17753.7,"2","1","1","R",5.6011958858811
"4","Arborophila gingica",0.916666666666667,23,148,56,42.66666667,6,17964.38,"2","1","1","R",5.7037824746562
"5","Arborophila atrogularis",0.846153846153846,17.5,134.5,60.5,40.25,4,15466.59,"2","1","1","R",5.56068163101553
"6","Arborophila brunneopectus",1.13152804642166,19.25,135,51.5,38.33333333,4,15137.52,"2","1","1","R",5.55489569394848
"7","Arborophila crudigularis",1.19021739130435,18.5,132.5,53,39.5,7,18360,"2","1","1","R",5.4380793089232
"8","Arborophila ardens",0.849420849420849,17.25,122.75,50.25,36.5,2,12147.93,"2","1","1","R",5.55682806169954
"9","Tropicoperdix chloropus",1.0377358490566,17,153,77,57,4,21867.05,"2","1","1","R",5.57972982598622
"10","Tetrastes bonasia",1.08218793828892,16.25,162.25,133.75,40.75,10,16271.56,"2","1","1","R",5.87633423985435
"11","Tetrastes sewerzowi",0.827977315611722,22.83333333,168.6666667,143.6666667,28.5,6.5,29744.35,"2","1","1","R",5.86552332384465
"12","Falcipennis falcipennis",1.66666666666667,10.75,187.5,117.5,35,8,25067.52,"2","1","1","R",5.96614673912369
"13","Tetrao urogallus",3.78703703703704,41,354.25,250,69.5,8,101518.83,"2","1","1","R",6.69703424766648
"14","Tetrao urogalloides",3.63445378124514,41,329.6666667,275,68.5,7.5,60315.47,"2","1","1","R",6.67624347795539
"15","Lyrurus tetrix",2.4928092042186,26.25,259.5,184.25,54.5,9,36822,"2","1","1","R",6.25670927444083
"16","Lagopus lagopus",1.49683544303797,11.275,206,130,45,7.5,22633.78,"2","1","1","R",5.97888576490112
"17","Lagopus muta",1.11709286675639,8.75,191.5,115,38,9,37011.22,"2","1","1","R",5.91754886415781
"18","Lerwa lerwa",1.51351351351351,23,192,128,39.5,4.5,34111.35,"1,2","1","1","R",5.91350300563827
"19","Tetraophasis obscurus",1.74685314680092,26,204.75,159.5,54,5,31246.68,"2","1","1","R",6.16681743465577
"20","Tetraophasis szechenyii",2.53191489361702,27.33333333,218.6666667,178,54.66666667,5,31246.68,"2","1","1","R",6.1527326947041
"21","Tetraogallus himalayensis",4.4230885925014,28.06666667,274.6666667,182,62.03333333,6.5,115953.6,"1","1","1","R",6.30870542174063
"22","Tetraogallus tibetanus",2.72871376811594,30.13333333,267,168.25,60.025,5.5,48867.2,"1","1","2","R",6.31354804627709
"23","Tetraogallus altaicus",3.61724137931034,35.55,306.75,198.5,69,6,78861.3,"2","1","1","R",6.36302810354046
"24","Alectoris chukar",1.51468315301391,20,150.5,95.75,41,12,18862.97,"2","1","1","R",5.77919911394096
"25","Alectoris magna",1.47074468085106,21.5,170.25,109.25,42.25,13.5,21641.51,"2","1","1","R",5.92958914338989
"26","Francolinus pintadeanus",1.04216388225935,24.25,142.25,74.75,41,4.5,16983,"2","1","1","R",5.75018884747036
"27","Perdix perdix",1.2975,21.5,154,90,40,17,12411.36,"2","1","2","R",5.7037824746562
"28","Perdix dauurica",1.0452528837622,15,141.5,84.75,38.25,15.5,11099.16,"2","1","2","R",5.64102015291989
"29","Perdix hodgsoniae",1.37556561085973,17.25,144.75,88,39.5,10,15986.97,"2","1","1","R",5.62130625283196
"30","Coturnix coturnix",0.470277410832233,14.16666667,107.5,38.33333333,27.66666667,12,7820.99,"2","1","1","SW",5.24306889231756
"31","Coturnix japonica",0.470277410832233,14.16666667,107.5,38.33333333,27.66666667,12,7820.99,"2","1","1","SWP",5.24306889231756
"32","Synoicus chinensis",0.357692307692308,10,71.5,22.5,22,6,4510.7,"2","1","1","R",4.86753445045558
"33","Bambusicola fytchii",0.929384965831435,19.925,140.25,110,43.75,4.5,16727.49,"2","1","1","R",5.79681734062339
"34","Bambusicola thoracicus",0.940627650551315,19,125.75,100.5,42.5,8.5,12640.86,"2","1","1","R",5.68612753941748
"35","Bambusicola sonorivox",0.854193548387097,NA,129.4,80.6,39.2,NA,NA,"","","1","R",5.73657229747919
"36","Ithaginis cruentus",1.25827814569536,21,185.25,146.5,59.5,6,28239.92,"1","1","1","R",6.0288807484934
"37","Tragopan satyra",2.39401496271292,13.5,251.25,250,79.66666667,4.5,61294.35,"2","4","1","R",6.50478705102269
"38","Tragopan melanocephalus",2.74888558692422,17.33333333,247.5,220,80.33333333,4,56677.32,"2","4","1","R",6.51174532964473
"39","Tragopan blythii",2.72727272727273,19,243.3333333,200,81.5,3.5,60932.25,"2","4","1","R",6.40522845803084
"40","Tragopan temminckii",2.35211267605634,14.25,224.5,201.5,68.5,4,51734.67,"2","4","1","R",6.27758289758358
"41","Tragopan caboti",2.14231063504208,15.125,215.75,189.75,64.25,3.5,56318.86,"2","4","1","R",6.48234253306428
"42","Pucrasia macrolopha",1.85339133243113,23,201.25,163,57,7.5,32028.18,"2","1","1","R",6.24852631662565
"43","Lophophorus impejanus",2.85714285714286,52,288.75,225,75,5,64756.28,"2","1","2","R",6.5510803350434
"44","Lophophorus sclateri",3.68916797488226,31.75,288,205.5,71.25,3.5,66435.31,"1","1","1","R",6.45676965557216
"45","Lophophorus lhuysii",3.2987349983782,47.125,328,289,74.5,4,85777.92,"2","1","2","R",6.64736406676626
"46","Gallus gallus",1.48235294117647,16.5,206.25,248.5,70.5,7,31726.08,"2","1","1","R",6.27523272023863
"47","Lophura leucomelanos",2.03724928355087,35.66666667,221.6666667,252,76.33333333,10,41112.63,"2","1","1","R",6.36589754602572
"48","Lophura nycthemera",1.71211251435132,32.33333333,261.75,453.75,91.5,6,49619.78,"2","1","1","R",6.7696419768525
"49","Lophura swinhoii",1.48108108108108,35.5,244,327.5,82.5,5,45386.68,"2","1","0","R",6.47311879357369
"50","Crossoptilon harmani",2.21556886227545,35.5,282.5,508,88,7.5,57924.22,"2","1","1","R",6.72743172485086
"51","Crossoptilon crossoptilon",2.25615090213231,36.75,305.25,477.5,92,5.5,53078.76,"2","1","1","R",6.81837746783092
"52","Crossoptilon mantchuricum",1.92967758314293,40.75,284.25,530.75,94.75,7.5,58606.42,"2","1","1","R",6.89238780185102
"53","Crossoptilon auritum",1.99527252502781,32.5,293,488.25,90,9,47457.22,"2","1","1","R",6.80128303447162
"54","Syrmaticus ellioti",1.3255512322179,28.625,226.5,303.75,64,6.5,27141.5,"2","1","1","R",6.46536681676938
"55","Syrmaticus humiae",1.04883512540323,27.25,206.75,343.25,60.75,8,37069.32,"2","1","1","R",6.61204103483309
"56","Syrmaticus mikado",1.20729303547963,25.5,210.5,356.25,62.75,7.5,54525.18,"2","1","0","R",6.63463335786169
"57","Syrmaticus reevesii",1.05034572169404,32.5,247.25,831.5,74,10,20317.91,"2","1","1","R",7.05358572719368
"58","Phasianus colchicus",1.70857142857143,32,222,368.5,64.375,6,29841.11,"2","1","1","R",6.5510803350434
"59","Chrysolophus pictus",0.786930938371013,23.75,190.25,506.25,77.5,7,24786.11,"2","1","1","R",6.69363340963838
"60","Chrysolophus amherstiae",0.816838215888097,27.25,202.75,604.25,75.5,7.5,29169.72,"2","1","1","R",6.85356304989871
"61","Polyplectron bicalcaratum",1.0280777537797,21.5,201.5,310.25,68.75,3.5,30564.13,"2","1","0","R",6.36087060540044
"62","Polyplectron katsumatae",1.34009009009009,NA,162.2,173,56,3.5,30564.13,"2","1","0","R",6.09582456243222
"63","Pavo muticus",4.3261231281198,41.25,457.5,489,140.6666667,5.5,122532.35,"2","1","1","R",7.31488566640936
"64","Arborophila mandellii",1.02485659655832,19.5,136,62,44,4.5,24437.16,"2","1","1","R",5.56643428350498
"65","Dendrocygna javanica",1.21547314578005,40.75,192,60.25,47,10,37234.08,"2","1","2","RSPV",5.96870755998537
"66","Anser cygnoid",3.92531608350485,89.5,432.5,130.25,83.5,6,158002.59,"2","1","2","SWPV",6.7455304238873
"67","Anser fabalis",4.04057199866977,68,435,126.75,72.25,5.5,154451.97,"2","1","2","WP",6.62240382186864
"68","Anser serrirostris",3.78451612903226,NA,NA,NA,NA,5,NA,"","","2","PW",6.65286302935335
"69","Anser anser",3.59133126934985,62.5,415.75,139.75,71.25,4.5,184354.15,"2","1","2","SWP",6.69394305509681
"70","Anser albifrons",3.94642857142857,49.75,392.25,118.5,66.75,4.5,144082.2,"2","1","1","WP",6.5510803350434
"71","Anser erythropus",2.75,38.5,353,104,61,4.5,116528.88,"2","1","1","WPV",6.36302810354046
"72","Anser indicus",3.29896907216495,43.75,439.5,135,69.25,5,128981.06,"2","1","1","SWP",6.58961399904565
"73","Anser caerulescens",3.50467289719626,53.95,410,123.5,76.85,4.5,146840.18,"1","1","2","W",6.46458830368996
"74","Branta canadensis",74.7311827956989,NA,150,121.6,73.3,5.5,NA,"1","1","2","V",4.53259949315326
"75","Branta hutchinsii",3.0859375,NA,396.3,120.7,71,4.5,NA,"1","2","2","V",6.46146817635372
"76","Branta bernicla",2,34,330,95.5,62,4.5,180168.52,"1","1","1","PWV",6.58617165485467
"77","Branta leucopsis",29.6875,NA,138.5,121,64.3,5.5,NA,"1","5","2","V",4.15888308335967
"78","Branta ruficollis",2.2651376146789,25,370,103.5,57,5.5,79300.74,"1","1","2","VW",6.30078579466324
"79","Cygnus olor",6.10667129951355,79,589.5,200.5,99,5.5,336179.85,"2","1","2","SPV",7.27170370688737
"80","Cygnus cygnus",5.99895670318206,108.75,609.25,175.25,110,4.5,307110.27,"2","1","1","SWPV",7.27083467059386
"81","Cygnus columbianus",4.91634491634492,93.75,506.5,146.5,93.5,3.5,250095.33,"2","1","1","WP",7.06090545847581
"82","Sarkidiornis melanotos",3.45138888888889,52.5,308.75,135.5,61,10.5,69194.25,"1","4","2","V",6.29156913955832
"83","Tadorna tadorna",1.78274200613228,52.75,305.75,111.5,53.25,9,92855.7,"1","1","2","SWP",6.34695128540991
"84","Tadorna ferruginea",2.23653198653199,43.5,358,140,56.25,9,77734.71,"1","1","2","RSWP",6.38687931936265
"85","Aix galericulata",1.16637579988365,30.5,212.5,108.5,42.5,9.5,37405.7,"1","4","2","SWPV",6.06320364426296
"86","Nettapus coromandelianus",0.788524590163934,22.25,159.75,66,27,11,24992.55,"1","4","1","RSV",5.72031177660741
"87","Mareca strepera",1.66416416416416,43,256.5,95,38.25,10,75826.32,"2","1","1","SWP",6.21360759808861
"88","Mareca falcata",1.41571815718157,42.25,235.5,90,36.75,8,53078.76,"2","1","2","SWP",6.13394019535474
"89","Mareca penelope",4.64320785597381,33.75,249,108,36,8.5,51438.6,"2","1","1","SWP",6.12741488671981
"90","Anas platyrhynchos",1.94252873563218,55.5,272.75,94.5,46,9,56579.4,"2","1","2","RSWP",6.29848958240289
"91","Anas luzonica",1.56745283018868,49,241,84.2,45,10,46294.74,"1","1","2","V",6.27287700654617
"92","Anas poecilorhyncha",1.93251533742331,53,267.75,104,43.75,9.5,47263.8,"2","1","1","VR",6.34651316930213
"93","Anas zonorhyncha",1.93251533742331,53,267.75,104,43.75,9.5,47263.8,"2","1","1","RSWPV",6.34651316930213
"94","Anas acuta",1.284140969163,50,254.25,132.75,38,8.5,44991.18,"2","1","2","SWP",6.34124074935556
"95","Spatula querquedula",0.88135593220339,38,182.25,73.5,29.25,10,25689.91,"2","1","2","SWP",5.91011890765403
"96","Anas crecca",0.785714285714286,35,176.25,80,31.5,9.5,30612.75,"2","1","2","SWP",5.9622931698077
"97","Spatula clypeata",1.15549597855228,63.25,228.75,87,34.5,10,44991.18,"2","1","1","SWP",6.14472197095803
"98","Sibirionetta formosa",1.09241126070991,37.15,204.5,87.5,32,7.5,28425.49,"2","1","2","WP",6.01249191430006
"99","Marmaronetta angustirostris",0.976744186046512,44,200.5,70.2,37.5,10,33708.96,"1","1","1","S",6.06378520868761
"100","Netta rufina",2.08537782139352,49.5,256.25,60.25,40.25,9,50079.39,"2","1","2","SWPV",6.23342985266278
"101","Aythya valisineria",2.23853211009174,58,229.25,52.8,44,9,65063.25,"1","2","2","V",6.30078579466324
"102","Aythya ferina",1.84104518236255,47,198.75,51.25,38.75,8,65567.54,"2","1","2","SWP",6.12959472409524
"103","Aythya nyroca",1.58338741077223,37.75,179.5,31,55.5,9,31411.25,"2","2","2","SWP",5.95389247420023
"104","Aythya baeri",1.41106043329532,41.5,196.25,57,33.5,7.5,61710,"2","1","2","SWPV",6.08335981181224
"105","Aythya fuligula",1.65039658328249,38.75,198.75,56,33.25,9,50581.29,"2","1","2","SWP",6.01554721762394
"106","Aythya marila",1.89041095890411,43,215.5,53.5,34.25,8.5,54808.88,"2","1","","WP",6.1230409048967
"107","Polysticta stelleri",1.64444444444444,38.75,210.75,86.5,36.5,6.5,79987.89,"1","3","2","WV",6.10924758276437
"108","Histrionicus histrionicus",1.36292134831461,27,197,93.33333333,35.5,6,64030.5,"1","3","2","P",6.09807428216624
"109","Melanitta americana",2.16494845360825,44.5,221.75,75.25,43,5,79397.82,"1","3","2","V",6.18414889093748
"110","Melanitta fusca",2.75229357798165,44.5,267.75,82.5,44.5,8,83427.84,"2","1","1","WPV",6.30078579466324
"111","Clangula hyemalis",1.49298128332266,26.5,211.25,149.5,34.75,7,48960,"2","1","1","WP",6.21193786993316
"112","Bucephala clangula",1.67741935483871,32.25,205,75,35,10,76608.12,"1","4","2","SWP",6.14203740558736
"113","Mergellus albellus",1.36176648517846,28.5,186.5,75.25,31,8,38294.88,"1","4","2","SWPV",6.02405273670113
"114","Mergus serrator",1.44488361879666,56.25,241,91.75,43.75,10,67128.75,"2","1","1","SWPV",6.34431970494385
"115","Mergus squamatus",1.77397868561279,50.5,238,121.75,50.75,10,67990.04,"1","4","1","SWPV",6.33327962813969
"116","Oxyura leucocephala",1.57362637362637,44.5,161,98.75,35.5,8,84150,"2","1,2","1","SW",6.12029741895095
"117","Mergus merganser",2.07051792828685,50.75,271.5,118,48.5,10.5,99488.25,"1","4","1","RSWPV",6.44174367100594
"118","Mareca americana",3.38976377952756,40.75,825,93.8,34.6,8,33736.5,"1","3","1","V",5.53733426701854
"119","Tachybaptus ruficollis",0.784123910939013,20.75,111.25,35,38.75,5.5,17997.14,"2","2","0,1","R",5.55392810799975
"120","Podiceps grisegena",1.91942675171461,47,184,46,60.33333333,4.5,33605.88,"2","2","0,1","SWP",6.26021860961055
"121","Podiceps cristatus",1.44322519083969,47.75,183,42.5,60.75,4.5,49882.34,"2","2","0,1","SWP",6.26149168432104
"122","Podiceps auritus",0.909694555112882,24.33333333,136.25,40,44.5,4.5,31035.07,"2","2","0,1","SWP",5.93091804723995
"123","Podiceps nigricollis",1.08952702702703,21.5,129.75,33.75,38.75,5,22054.95,"2","2","1","SWP",5.69035945432406
"124","Phoenicopterus roseus",2.04903036992316,120.3333333,417,130,218.3333333,1.5,190659.95,"1","1","2","P",6.81454289725996
"125","Columba livia",0.809195402298851,17.75,223.75,125.5,26.5,2,22456.32,"2","5","1","R",5.7876639586369
"126","Columba rupestris",0.809958506224066,16.25,220.25,126.25,26.5,2,15193.92,"2","5","1","RS",5.70794048480486
"127","Columba leuconota",0.878648233486943,19.25,240.75,131.5,29,2,21074.73,"2","5","","R",5.78536246164862
"128","Columba oenas",0.991735537190083,17,213,120,24.5,2,17156.4,"2","4","1","R",5.7120812774709
"129","Columba palumbus",1.35882352941176,16.5,251,146,25.5,2,27489,"2","4","1","R",6.05208916892442
"130","Columba eversmanni",0.816071428571429,16.5,199,100.5,26,2,15233.9,"2","4","1","RP",5.63478960316925
"131","Columba hodgsonii",0.81067615658363,16.5,224.25,146.75,27.75,1,19278,"2","4","1","R",5.86149822064796
"132","Columba pulchricollis",0.826666666666667,17,205,125,23,1,19278,"2","4","0,1","R",5.92692602597041
"133","Columba punicea",1.51129943502825,17,213.5,151.5,25.5,1,21934.08,"2","4","0,1","R",5.86929691313377
"134","Columba janthina",0.956626506024096,19.5,227.5,165,32.5,1,20584.62,"1","4","0","SV",6.0282785202307
"135","Streptopelia turtur",0.49047619047619,16.5,169,114.5,22.75,2,9166.78,"2","4","0","R",5.57025108203168
"136","Streptopelia orientalis",0.770452740270056,17.75,193.75,132.75,23.75,2,13756.23,"2","4","0,1","RS",5.75177867292446
"137","Streptopelia tranquebarica",0.462377317339149,13.5,135.5,90.75,18.75,2,5992.6,"2","4","1","RS",5.43481311113657
"138","Streptopelia decaocto",0.59581589958159,15.75,175,138.5,22,2,11721.84,"2","3","1","RV",5.69960710324572
"139","Streptopelia senegalensis",0.401486988847584,12.5,131.5,111.5,20.5,2,2043.78,"2","4","1","R",5.59471137960184
"140","Streptopelia chinensis",0.529991783073131,16.5,149.75,145.25,23.5,2,6006.44,"2","3","1","R",5.71784973186764
"141","Macropygia unchall",0.53894297635605,16.75,175.25,173.25,22,1,15193.92,"2","4","1","RS",5.8847141771611
"142","Macropygia tenuirostris",0.547945205479452,18.1,210,185,27.3,3.5,2568.68,"2","4","","R",5.89989735358249
"143","Macropygia ruficeps",0.5625,12.5,145.5,171.5,14.5,1,6522.39,"2","3","1","R",5.76832099579377
"144","Chalcophaps indica",0.481323372465315,16.75,134.75,88.5,23.75,2,12870.16,"2","4","0","R",5.45638892111853
"145","Treron bicinctus",0.604739336492891,18.25,153.5,97.75,22,2,9400.32,"2","3","1","RV",5.57500168479028
"146","Treron pompadora",0.587912087912088,18,146.3333333,85,20.5,2,9106.56,"2","3","1","R",5.60947179518496
"147","Treron curvirostra",0.666333666333666,16.5,142.75,87,20.75,2,8093.7,"2","3","1","RV",5.52246041819533
"148","Treron phoenicopterus",0.89247311827957,19.75,185.25,116.75,23.75,2,12066.6,"2","4","0","R",5.7112544894949
"149","Treron apicauda",0.59364201796821,20,163.75,188.25,22.75,2,10281.6,"2","4","1","R",5.89095336551159
"150","Treron sphenurus",0.673076923076923,20,177.5,132.25,21.25,2,9987.84,"2","4","0","R",5.74300318780948
"151","Treron sieboldii",0.928386540120794,19.5,181.25,128.25,21.75,2,9796.08,"2","4","0","RP",5.66901848221986
"152","Treron formosae",0.830769230769231,19,196,137,26.5,2,9643.02,"2","4","","R",5.78382518232974
"153","Ptilinopus leclancheri",0.981818181818182,21,158,110,26,1,21866.25,"2","1","1","R",5.61677109766657
"154","Ducula aenea",1.39430379746835,23.5,235.25,149.5,28.25,1.5,35956.79,"2","4","0","R",5.97888576490112
"155","Ducula badia",1.13823529411765,23.5,227.75,171.5,28.5,1,32387.04,"2","4","1","R",6.05208916892442
"156","Syrrhaptes tibetanus",0.976190476190476,17,253.25,200.5,26.5,3,25533.87,"2","1","2","RS",6.01493690329312
"157","Syrrhaptes paradoxus",0.729954614220877,19,236.5,155,20.25,3,29363.25,"2","1","1","SWR",5.80060665929174
"158","Pterocles orientalis",1.336,14.5,223.5,101,26.75,2.5,28888.44,"2","1","1","S",5.74460446917646
"159","Batrachostomus hodgsoni",0.216666666666667,17,133.5,135,15.5,1.5,5449.36,"1","4","0","R",5.48063892334199
"160","Caprimulgus indicus",0.353544776119403,12.25,206,127.25,16.25,2,7652.04,"2","1","0","RSPV",5.59098698051086
"161","Caprimulgus europaeus",0.324074074074074,9.5,183.5,134.5,16.5,2,10575.36,"2","1","1","S",5.59842195899838
"162","Lyncornis macrotis",0.347259259259259,10.5,304.5,216,21.5,1,22978.56,"2","1","0","R",6.00388706710654
"163","Caprimulgus aegyptius",0.3092,NA,202,211.25,20.8,2,8825.82,"2","1","0","V",5.52146091786225
"164","Caprimulgus centralasicus",0.302684210526316,NA,156,106,15.2,NA,NA,"","","0","V",5.24702407216049
"165","Caprimulgus macrurus",0.291618828977224,11.5,199.6666667,159.9,14.83333333,2,9987.84,"2","1","0","VR",5.67102968806958
"166","Caprimulgus affinis",0.232745098039216,8.5,189,110.5,21,2,8903.07,"2","1","0","RS",5.54126354515843
"167","Hemiprocne coronata",0.167035398230089,7,158,126,7.5,1,2853.71,"1","4","1","R",5.42053499927229
"168","Aerodramus fuciphagus",0.1125,5,107,52.5,9,2,3541.32,"1","5","1","R",4.78749174278205
"169","Aerodramus brevirostris",0.124680306937258,4.675,129.5,64.75,9.25,2,2359.01,"1","5","1","RSP",4.8700952710615
"170","Hirundapus caudacutus",0.650314465408805,9.375,202.25,60.25,18,4,6244.47,"1","5","1","RSP",5.29204775353444
"171","Hirundapus cochinchinensis",0.5,10,176,51,18,3,6319.97,"1","5","1","RSP",5.24702407216049
"172","Aerodramus maximus",0.121428571428571,NA,129.2,46.2,11.8,1,NA,"1","1","","R",4.9416424226093
"173","Hirundapus giganteus",0.543617021276596,NA,203.1,61.7,17.8,3.95,NA,"","","1","R",5.45958551414416
"174","Hirundapus celebensis",0.747959183673469,NA,213.7,60,18.9,NA,NA,"","","1","S",5.50125821054473
"175","Cypsiurus balasiensis",0.0971074380165289,4.666666667,115,57.25,9.25,2,1321.92,"1","5","1","R",4.79579054559674
"176","Tachymarptis melba",0.466883720930233,NA,219.3,86.2,15.4,2.6,NA,"1","1","1","S",5.37063802812766
"177","Apus apus",0.202295552367288,6.75,165.25,81.5,10.25,3,3832.14,"1","5","1","SP",5.16049104964063
"178","Apus pacificus",0.239398084815321,7.75,176,83.5,12.25,2.5,4126.92,"1","5","1","SP",5.20811909862989
"179","Apus nipalensis",0.241237113402062,6.333333333,134,51.5,9.75,3,2604.83,"1","5","2","RSP",4.79785452981759
"180","Apus acuticauda",0.214909090909091,NA,174,71,15.2,2.9,NA,"","","1","V",5.10594547390058
"181","Centropus sinensis",0.634300791556728,36.5,215,266.5,56,4,16727.49,"2","3","0","R",6.16067975639664
"182","Centropus bengalensis",0.35223245924876,25.75,157.25,185.75,42,4,10837.5,"2","3","0","R",5.86575959073292
"183","Phaenicophaeus tristis",0.234791352438411,29,145.5,317,36.25,3,9106.56,"2","3","0","R",6.20909291773408
"184","Clamator Jacobinus",0.242424242424242,26.5,150,164.25,26.5,1,8812.8,"3","0","0","S",5.79909265446053
"185","Clamator coromandus",0.238311688311688,25,154.75,211.5,26.25,2,8812.8,"3","0","0","RSPV",5.95324333428778
"186","Chrysococcyx maculatus",0.16966966966967,15,105.25,68.75,14.75,1,2928.35,"3","0","0","RS",5.1149953094205
"187","Eudynamys scolopaceus",0.527069072806472,30,202.75,193.75,32.75,1,2928.35,"3","0","0","RSP",5.99583000461762
"188","Cacomantis sonneratii",0.120934959349594,21,125.5,127.5,18,1,2928.35,"3","0","","S",5.50533153593236
"189","Chrysococcyx xanthorhynchus",0.131852552009802,16.33333333,101.25,76,14,1,2928.35,"3","0","0","R",5.17237614300115
"190","Cacomantis merulinus",0.135195530726257,19.25,112.25,119,17.5,1,1700.94,"3","0","0","RSV",5.41052935715496
"191","Surniculus lugubris",0.155665024630542,21.75,137,133,17,1,2928.35,"3","0","0","RSP",5.536349530356
"192","Hierococcyx sparverioides",0.386067708333333,25.25,231.25,216.75,25.25,1.5,6153.54,"3","0","0","RSPV",5.95064255258773
"193","Hierococcyx varius",0.436029411764706,25.25,231.25,216.75,25.25,1,6153.54,"3","0","","R",5.82894561761021
"194","Hierococcyx hyperythrus",0.4,17.8,198,168,25.5,1,2928.35,"3","0","","SWPV",5.7037824746562
"195","Hierococcyx nisicolor",0.277155172413793,NA,176,144.2,18.9,1,3062.34,"3","0","","S",5.66988092298052
"196","Cuculus poliocephalus",0.223620522749274,19.75,159.75,136.75,18,1,3148.74,"3","0","0","RSP",5.55392810799975
"197","Cuculus micropterus",0.371182458888019,25,198.5,161.5,23,1,2928.35,"3","0","0","RSV",5.76597449491265
"198","Cuculus canorus",0.385979049153908,20.75,213.25,169,22.25,1,3254.94,"3","0","0","SP",5.73737842408472
"199","Cuculus optatus",0.369354838709677,21,210,165,21.5,1,2928.35,"3","0","","SP",5.73657229747919
"200","Cuculus saturatus",0.351010101010101,21.75,200,157.5,21,1,3264,"3","0","0","S",5.6937321388027
"201","Otis tarda",6.97222222222222,42.5,595,233.5,146,3,122510.46,"2","1","1","RSWP",6.80239476332431
"202","Chlamydotis macqueenii",1.8,34,376.5,228.5,125,2.5,84491.19,"2","1","1","SP",6.39692965521615
"203","Tetrax tetrax",1.94117647058824,39,255.5,113.5,60.5,4,52179.12,"2","1","2","SPV",6.05208916892442
"204","Coturnicops exquisitus",0.212692307692308,12.5,79.5,32.5,22.5,6,5712,"2","1","","SWP",4.86753445045558
"205","Rallina fasciata",0.494444444444444,20,116.75,47.75,35,6,11156.25,"2","3","1","V",5.41610040220442
"206","Rallina eurizonoides",0.493877551020408,28.5,127,62.5,42.5,6,14394.24,"2","3","0","RSV",5.50125821054473
"207","Lewinia striata",0.533004926108374,37.55,124,44,40.4,7,15869.67,"2","1","","RS",5.536349530356
"208","Rallus indicus",0.456419868791003,39,126,60.75,40,7.5,12017.46,"2","1","1","RSWP",5.58631189018186
"209","Rallus aquaticus",0.456419868791003,39,126,60.75,40,7.5,12017.46,"2","1","","R",5.58631189018186
"210","Crex crex",0.581613508442777,22.5,135,50,42,9.5,13630.39,"2","1","","SPV",5.5853742436059
"211","Zapornia bicolor",0.322147651006711,23,107.5,56,37,6.5,13384.44,"2","1","","R",5.40941141405362
"212","Porzana porzana",0.414951245937161,20,115.5,49.5,34,9,10269.87,"2","1","0","SPV",5.44133487338296
"213","Zapornia akool",0.50377358490566,30,130,64,51.5,5.5,NA,"2","3","0","R",5.57972982598622
"214","Zapornia parva",0.281578947368421,19,100.5,55,30.5,7.5,9515.66,"2","2","0","SP",5.24702407216049
"215","Zapornia pusilla",0.24390243902439,16.75,86,42.75,25.75,7.5,5926.68,"2","1","0","SWP",5.16049104964063
"216","Zapornia fusca",0.340672074159907,20.5,108.325,48.5,34.25,7,8363.49,"2","1","","RSP",5.37412032996354
"217","Zapornia paykullii",0.530037761894954,23,123.25,52,43.25,7.5,14255.19,"2","1","0","SPV",5.49203210717143
"218","Amaurornis cinerea",0.25,20,94.5,48,37.5,4.5,7158.36,"2","1","0","V",5.29831736654804
"219","Gallicrex cinerea",0.944192083062946,35.5,201.5,76.5,69.5,5.5,21074.73,"2","2","0","S",5.95389247420023
"220","Porphyrio porphyrio",1.15183246073298,45,257.5,95,89,5,32824.49,"2","2","1","RV",6.16856415992078
"221","Gallinula chloropus",0.931896551724138,27,157,67.75,46.25,8,18659.5,"2","2","1","RSP",5.66988092298052
"222","Fulica atra",1.52104591836735,32.5,209.25,63.5,62,9,32487,"2","2","1","RSW",5.97126183979046
"223","Amaurornis phoenicurus",0.696546052631579,37.75,163.75,73,55,6,18360,"2","2","","RS",5.71702770140622
"224","Grus leucogeranus",4.33333333333333,181,591.75,204,253.75,2,205008.96,"2","1","1","SWP",7.20785987143248
"225","Grus canadensis",NA,NA,550,NA,NA,1.5,185436,"2","1","2","W",6.95654544315157
"226","Grus antigone",5.26855969893945,177,637.5,259,332.5,2,219784.5,"2","1","0,2","P",7.2872185845513
"227","Grus vipio",4.1597938155051,141,546,192.6666667,249.75,2,175719.71,"2","1","1,2","SWPV",7.16497814369148
"228","Grus virgo",3.00949367088608,65.5,490,152,176.75,2,134982.42,"2","1","1","SWPV",6.67203294546107
"229","Grus grus",4.01408450704225,108.25,539.25,197.25,231.5,2,198004.44,"2","1","1","SWPV",6.97073007814353
"230","Grus japonensis",6.52573529411765,455,605.5,300,280,2,304041.6,"2","1","1","SWPV",7.2152399787301
"231","Grus monacha",4.04444444444444,97.5,504.25,173,204.5,2,207806.64,"2","1","1","SWPV",6.85118492749374
"232","Grus nigricollis",4.52025586353945,121,599.5,228.5,238.75,2,218612.52,"2","1","1","SWP",7.06689350032043
