scientific_name,body_mass,body_length,tail_length,Hind_foot_length_mm,Ear_length_mm,Maturity_d.x,Gestation_length_d,Litter_size_n,Litters_per_year_n,Generation_length_d.x,Diet,Activity_cycle,Habitat_.breadth,Distribution.type
Ailurus fulgens,3750,620,425,105,65,604,120~150,1~3,1,"3,650",杂食 omnivores,全天活动 cathemeral,2,Ha
Ailurus styani,4500,620,410,,,,,,,,杂食 omnivores,全天活动 cathemeral,2,Hm
Callorhinus ursinus,152500,1950,,,,"1,684",255,1,0.7,"4,745","食无脊椎动物 invertivores, 食鱼 piscivores",全天活动 cathemeral,4,
Eumetopias jubatus,735000,2800,,,,"1,966",308,1,1,"3,650",食鱼 piscivores,全天活动 cathemeral,4,
Martes flavigula,1800,477.5,365,100,38.5,"1,263",220~290,2~4,1.6,"2,642",杂食 omnivores,昼行性 diurnal,3,We
Martes foina,1200,410,275,72.5,21.5,742,230~275,3~4,1.1,"2,179",杂食 omnivores,夜行性 nocturnal,5,U
Martes zibellina,750,400,145,75,41,480,250~300,1~5,1.6,"2,087",杂食 omnivores,全天活动 cathemeral,1,Uc
Gulo gulo,10250,727.5,187.5,187.5,50,757,120~272,2~4,0.5,"2,622",杂食 omnivores,夜行性 nocturnal,5,Cc
Mustela aistoodonnivalis,,146.5,56,,,,,,,,食肉 carnivores,夜行性 nocturnal,2,
Mustela altaica,180,187.5,114,34.5,19.5,315,39,2~8,1,"1,847",食肉 carnivores,夜行性 nocturnal,4,O
Mustela erminea,85,205,61,35,16,93,43,3~9,1,"1,079","食虫 insectivores, 食肉 carnivores",夜行性 nocturnal,7,Cf
Mustela eversmanii,829,387.5,145,56.5,25,327,38~41,4~10,1,"1,222",食肉 carnivores,夜行性 nocturnal,3,M
Mustela kathiah,209,269.5,173.5,34,16.5,227,38,3~18,1.5,"1,253",食肉 carnivores,全天活动 cathemeral,4,Sd
Mustela nivalis,49,160,36.5,20.5,11,170,36,3~10,1~3,"1,194",食肉 carnivores,夜行性 nocturnal,8,Uf
Mustela sibirica,850,320,185,55,20,528,33~37,5~6,1.6,"1,485",食肉 carnivores,夜行性 nocturnal,6,Uh
Mustela strigidorsa,821.5,307.5,175,50.5,21.5,410,43,3.7,1.7,"2,334",食肉 carnivores,全天活动 cathemeral,3,Wa
Vormela peregusna,535,350,180,56,22.5,91,61,4~8,1.1,"1,121",食肉 carnivores,夜行性 nocturnal,6,D
Melogale cucphuongensis,800,350,180,55,30,681,90,2.2,1.5,"2,681",杂食 omnivores,夜行性 nocturnal,2,
Melogale moschata,1050,367.5,165,55,30,371,49,2~4,1.8,"1,627",杂食 omnivores,夜行性 nocturnal,4,Sd
Melogale personata,1250,400,177.5,65,32.5,398,50,2.8,1.8,"1,488",杂食 omnivores,夜行性 nocturnal,4,Wa
Meles leucurus,6250,597.5,167.5,97.5,42.5,384,49,2~6,1,"2,376",杂食 omnivores,昼行性 diurnal,4,Uh
Arctonyx albogularis/collaris,11100,528.5,155,95,33,407,43,2~4,1.7,"1,799",杂食 omnivores,夜行性 nocturnal,4,We
