scientific_name,island_special,body_length,SpawnLoc,Young_site,Adult_site,mature_period,mate_month,parent_exist,fert_mode, snout-vent length,hindlimb length,interorbital distance,activity time,TAIL
Hyla chinensis,0,32.5,水栖,静水,陆栖,0,4~8,0,0,32.65,9.35,3.9,2,0
Hyla immaculata,0,34.75,水栖,静水和激流,陆栖,0,,0,0,,,,,
Hyla japonica,0,38.5,水栖,静水,半水栖,0,5~6,0,0,,,,,
Hyla sanchiangensis,0,34.25,水栖,静水和激流,半水栖,0,,0,0,34,9.95,4.05,2,0
Hyla simplex,0,37.75,水栖,静水,陆栖,1,,0,0,37.25,10.9,4.15,2,0
Hyla tsinlingensis,0,42.75,水栖,静水,陆栖,0,5~6,0,0,42.3,12.05,5.3,2,0
Hyla zhaopingensis,0,32.5,水栖,静水,陆栖,0,7~8,0,0,32.15,10.1,3.95,2,0
Glyphoglossus huadianensis,0,36,水栖,静水,水栖,,,0,0,36.5,8.8,2.95,2,0
Glyphoglossus yunnanensis,0,38.75,水栖,静水,水栖,0,5~6,0,0,38.5,10.85,3.75,2,0
Kalophrynus interlineatus,0,37.5,水栖,静水,陆栖,1,3~9,0,0,37,10.4,4.5,,0
Kaloula borealis,0,43,水栖,静水,半水栖,0,7~8,0,0,42.85,11.55,4.95,2,0
Kaloula nonggangensis,0,49.5,水栖,静水,陆栖,,5~6,0,0,49.9,12.55,4.55,2,0
Kaloula pulchra,0,66.125,水栖,静水,陆栖,0,3~8,0,0,69.1,15.35,7.9,2,0
Kaloula rugifera,0,44.25,水栖,静水,陆栖,0,6~8,0,0,43.75,10.55,4.35,2,0
Kaloula verrucosa,0,46.25,水栖,静水,陆栖,0,5~7,0,0,45.65,12.1,3.85,1,0
Microhyla beilunensis,0,24.3625,半水栖,静水,半水栖,,3~4,0,0,24.72,6.88,2.68,,0
Microhyla berdmorei,0,34.25,水栖,静水,陆栖,1,,0,0,33.45,10.35,3,1,0
Microhyla butleri,0,22.75,水栖,静水,半水栖,0,5~6,0,0,22.65,5.95,2.55,,0
Microhyla fanjingshanensis,0,21.8,水栖,静水,半水栖,,4,0,0,22.05,8.4,2.2,2,0
Microhyla fissipes,0,23,水栖,静水,陆栖,1,3~8,0,0,22.75,6.6,2.45,2,0
Microhyla heymonsi,0,19.5,水栖,静水,半水栖,1,5~9,0,0,21.2,5.9,2.4,1,0
Microhyla mixtura,0,24,水栖,静水,半水栖,1,5~6,0,0,23.5,5.9,2.8,3,0
Microhyla mukhlesuri,0,18.3,水栖,静水,陆栖,,,0,0,17.84,7.06,2.47,,0
Microhyla pulchra,0,30,水栖,静水,半水栖,1,3~7,0,0,31.55,9.05,3.3,2,0
Micryletta hekouensis,0,23.5,水栖,静水,陆栖,0,,0,0,20.65,6.9,2.3,2,0
Micryletta immaculata,0,26.475,水栖,静水,陆栖,0,5~9,0,0,26.55,7.625,3.2,2,0
Micryletta inornata,0,23.5,水栖,静水,半水栖,1,5,0,0,23.35,6.95,2.85,2,0
Micryletta menglienica,0,21.5,,,陆栖,,,,,,,,,
Micryletta steinegeri,1,23.5,水栖,静水,陆栖,1,,0,0,23.5,7.3,,1,0
Liurana alpina,0,24.775,,,陆栖,, 7,,,,,,,
Liurana medogensis,0,21.15,,,陆栖,,,,,,,,,
Liurana vallecula,0,17.5,,,陆栖,,,,,,,,,
Liurana xizangensis,0,24.075,,,陆栖,,6,,,,,,,
Fejervarya kawamurai,0,39.5,水栖,静水,陆栖,1,"5,8",,,,,,,
Fejervarya moodiei,0,70.5,水栖,静水和激流,水栖,0,,0,0,,,,,
Fejervarya multistriata,0,43,水栖,静水,半水栖,1,4~9,0,0,43.1,14.45,2.25,1,0
Fejervarya sakishimensis,0,54.75,,,半水栖,,,,,,,,,
Hoplobatrachus chinensis,0,93,水栖,静水,半水栖,,3~8,,,,,,,
Ingerana borealis,0,23.8,水栖,静水和激流,半水栖,0,,0,0,25,,,,0
Limnonectes bannaensis,0,69.75,水栖,静水和激流,半水栖,1,4~5,0,0,67.85,28.8,5.05,2,0
Limnonectes fragilis,0,52,水栖,静水和激流,半水栖,1,2~8,0,0,49.8,21.4,3.2,3,0
Limnonectes fujianensis,0,51.5,水栖,静水,半水栖,1,,0,0,50.7,21,3.25,3,0
Limnonectes liui,0,34.25,水栖,静水和激流,水栖,0,4~5,0,0,,,,,
Limnonectes longchuanensis,0,59.0925,,静水和激流,水栖,,,,,,,,,
Limnonectes taylori,0,60.25,水栖,静水,半水栖,,,0,0,59,44.9,7.55,2,0
Minervarya chiangmaiensis,0,27.7,水栖,静水,半水栖,,,,,,,,,
Nanorana aenea,0,32.25,水栖,,,,,0,0,32.5,,,2,0
Nanorana blanfordii,0,45.25,水栖,静水和激流,半水栖,0,5~8,0,0,46.2,14.8,3.15,2,0
Nanorana chayuensis,0,67,水栖,急流,半水栖,0,7~8,0,0,66.75,22.7,4.45,1,0
Nanorana conaensis,0,56.75,水栖,静水和激流,半水栖,1,,0,0,56.6,18.3,4.15,2,0
Nanorana kangxianensis,0,74.75,水栖,静水和激流,半水栖,0,,0,0,73.17,24.33,4.775,2,0
Nanorana liebigii,0,94.5,水栖,静水和激流,半水栖,0,8~9,0,0,85.5,30.55,5.9,2,0
Nanorana maculosa,0,84.75,水栖,静水和激流,半水栖,0,6~7,0,0,84.75,27.6,5.85,2,0
Nanorana medogensis,0,81.5,水栖,急流,半水栖,0,5~6,0,0,78.55,27.55,4.7,2,0
Nanorana parkeri,0,47,水栖,静水和激流,半水栖,0,5~7,0,0,47.1,14.6,2.1,2,0
Nanorana phrynoides,0,100,水栖,急流,水栖,1,5~6,0,0,87.735,31.865,5.225,2,0
Nanorana pleskei,0,34.25,水栖,静水,水栖,1,5~6,0,0,34.05,10.85,1.55,2,0
Nanorana polunini,0,40,水栖,静水,半水栖,0,5~6,0,0,45.5,14.7,3.5,2,0
Nanorana quadranus,0,87.5,水栖,静水和激流,半水栖,0,,0,0,85.75,29.6,5.35,2,0
Nanorana rostandi,0,41.35,,半水生,半水栖,,,,,,,,,
Nanorana sichuanensis,0,103.5,水栖,急流,半水栖,0,6~7,0,0,,,,,
Nanorana taihangnica,0,73.25,水栖,急流,半水栖,0,4~5,0,0,73.85,22.45,4.8,2,0
Nanorana unculuanus,0,75.75,水栖,急流,半水栖,1,7,0,0,77.25,26.3,5.25,2,0
Nanorana ventripunctata,0,47,水栖,静水,水栖,1,5~8,0,0,46.75,14.15,2.4,2,0
Nanorana xuelinensis,0,104.5,水栖,静水,陆栖,,,0,0,104.5,36.15,4.4,2,0
Nanorana yunnanensis,0,112.25,水栖,急流,半水栖,0,4~7,0,0,112.5,,,2,0
Nanorana zhaoermii,0,69.075,水栖,,陆栖,,,0,0,69.1,20.9,7.05,2,0
Nanorana arunachalensis,0,62.715,,,陆栖,,,,,,,,,
Occidozyga lima,0,26.25,水栖,静水,水栖,1,4~8,0,0,25.9,8.2,1.4,1,0
Occidozyga martensii,0,23,水栖,静水,水栖,1,,0,0,22.85,7.45,2.05,1,0
Occidozyga shiwandashanensis,0,33.2,半水栖,静水,半水栖,,,0,0,33.3,10.5,1.7,1,0
Quasipaa boulengeri,0,94.5,水栖,急流,半水栖,1,5~8,0,0,96.925,36.05,7.7,2,0
Quasipaa exilispinosa,0,54.5,水栖,急流,水栖,0,6~7,0,0,56.6,21.15,4.35,2,0
Quasipaa jiulongensis,0,89.25,水栖,急流,半水栖,0,,0,0,78.6,26,5.7,2,0
Quasipaa shini,0,100,水栖,急流,半水栖,0,,0,0,96.75,34.4,,2,0
Quasipaa spinosa,0,129,水栖,静水和激流,半水栖,1,5~9,0,0,126.9,46.35,10.1,1,0
Quasipaa verrucospinosa,0,101.25,水栖,静水和激流,半水栖,0,,0,0,101.4,32.1,,2,0
Quasipaa yei,0,66.5,水栖,急流,半水栖,1,5~8,0,0,66.55,19.05,5.05,2,0
Amolops adicola,0,56.25,水栖,急流,半水栖,,,0,0,56.35,18.7,,2,0
Amolops afghanus,0,59,水栖,急流,半水栖、陆栖,,,0,0,66.07,25.5,7.2,2,0
Amolops albispinus,0,43.125,水栖,急流,半水栖,,,0,0,44.15,15.85,3.75,2,0
Amolops aniqiaoensis,0,52,水栖,静水和激流,陆栖,0,,0,0,52,,,,0
Amolops beibengensis,0,83.75,水栖,静水和激流,水栖,,,,0,83.75,,,,0
Amolops bellulus,0,56,水栖,急流,半水栖,0,,0,0,55.75,20.15,,2,0
Amolops chaochin,0,44.85,水栖,,半水栖,,5~7,0,0,45,15.95,4.05,2,0
Amolops chayuensis,0,,水栖,急流,半水栖,,,0,0,46.34,14.35,4.66,3,0
Amolops chunganensis,0,42.75,水栖,急流,陆栖,0,5~8,0,0,43.75,15.65,4.3,2,0
Amolops daiyunensis,0,52,水栖,急流,半水栖,0,4~7,0,0,49.8,18,4.65,1,0
Amolops daorum,0,45.25,,急流,半水栖,,5,,,,,,,
Amolops deng,0,62.1,水栖,静水和激流,水栖,,,,0,62.15,,,1,0
Amolops gerbillus,0,33,水栖,静水和激流,半水栖,0,,0,0,33,,,,0
Amolops granulosus,0,46,水栖,静水和激流,陆栖,0,9,0,0,39.8,15.05,4.3,2,0
Amolops gyirongensis,0,71.875,水栖,静水和激流,半水栖,,,,0,71.9,,,,0
Amolops hainanensis,0,76.5,水栖,急流,半水栖,1,4~8,0,0,76.65,30.85,6.7,2,0
Amolops hongkongensis,0,39.5,水栖,急流,半水栖,0,8,0,0,39.5,,,,0
Amolops jinjiangensis,0,55.25,水栖,静水和激流,半水栖、陆栖,,,,0,49,,,,0
Amolops lifanensis,0,62.5,水栖,急流,半水栖,0,7~8,0,0,62.65,21.25,5.2,1,0
Amolops loloensis,0,66,水栖,静水和激流,半水栖,0,5~6,0,0,66.25,21.3,6.1,2,0
Amolops mantzorum,0,58.5,水栖,急流,半水栖,0,5~10,0,0,59.4,19.65,5.45,2,0
Amolops medogensis,0,93.8,水栖,急流,半水栖,0,,0,0,95,,,,0
Amolops mengdingensis,0,51.425,水栖,急流,半水栖,,,0,0,51.25,16.95,4.65,2,0
Amolops mengyangensis,0,55,水栖,急流,半水栖,,,,0,55,,,,0
Amolops nyingchiensis,0,58.775,水栖,急流,水栖,,,0,0,60.95,21.3,5.25,2,0
Amolops pallasitatus,0,71.45,水栖,急流,半水栖,,,0,0,71.45,24.95,6.35,2,0
Amolops ricketti,0,57,水栖,急流,半水栖,0,5~6,0,0,56.75,18.8,5.25,2,0
Amolops shuichengicus,0,44.55,水栖,急流,半水栖,,,0,0,44,14.85,3.7,2,0
Amolops sinensis,0,46.775,水栖,急流,半水栖,,,0,0,46.8,16.3,5.5,2,0
Amolops splendissimus,0,78.5,水栖,急流,水栖,,4~5,,0,78.5,,,2,0
Amolops teochew,0,46.65,水栖,急流,半水栖,,7~8,0,0,46.9,17.5,4.5,2,0
Amolops torrentis,0,33.5,水栖,急流,半水栖,1,5~8,0,0,33.55,11.45,3.15,1,0
Amolops tuanjieensis,0,49.35,水栖,静水和激流,树栖,,,0,0,49.15,16.65,5.1,2,0
Amolops tuberodepressus,0,58.75,水栖,急流,半水栖,,,0,0,58.23,18.975,,2,0
Amolops viridimaculatus,0,83.5,水栖,急流,半水栖,0,5~7,0,0,83.45,28.35,7.45,2,0
Amolops wangyufani,0,76.025,水栖,急流,半水栖,,,,0,76.05,,,,0
Amolops wenshanensis,0,41.225,水栖,静水和激流,树栖,,,0,0,40.95,15.4,4.1,2,0
Amolops wuyiensis,0,45,水栖,静水和激流,半水栖,0,5~6,0,0,46.5,15.05,4.15,2,0
Amolops xinduqiao,0,48.45,水栖,静水和激流,半水栖,,,0,0,48.2,16.2,4.4,2,0
Amolops yarlungzangbo,0,70.175,水栖,急流,半水栖,,,,0,70.2,,,,0
Amolops yatseni,0,43.75,水栖,急流,半水栖,,3~8,0,0,44.45,16.35,4.3,2,0
Amolops yunkaiensis,0,35.025,水栖,急流,半水栖,,4~6,0,0,35,12.65,3.55,2,0
Glandirana emeljanovi,0,48.5,水栖,静水和激流,水栖,0,6~7,0,0,48.9,19.8,4.9,2,0
Glandirana minima,0,28,水栖,静水,半水栖,0,6~9,0,0,27.8,10.45,2.95,2,0
Glandirana tientaiensis,0,47.5,水栖,静水,半水栖,0,6~7,0,0,47.55,18.45,,2,0
Hylarana cubitalis,0,60.5,水栖,急流,半水栖,0,,0,0,,,,,
Hylarana guentheri,0,71.5,水栖,静水,水栖,0,5~6,0,0,,,,,
Hylarana hekouensis,0,42.25,,,半水栖,,,,,,,,,
Hylarana lateralis,0,51.5,水栖,静水,陆栖,0,4~6,0,1,51.45,18.85,3.95,2,0
Hylarana latouchii,0,42.5,水栖,静水,半水栖,0,3~5,0,0,42.35,14.4,4.15,2,0
Hylarana macrodactyla,0,34,水栖,静水,半水栖,1,6~8,0,0,33.9,13,,2,0
Hylarana maosonensis,0,44.4,水栖,静水和激流,半水栖,0,,0,0,,,,,
Hylarana menglaensis,0,44.35,,静水和激流,,,4~6,,,,,,,
Hylarana milleti,0,40,水栖,静水,水栖,0,,0,0,,,,,
Hylarana nigrovittata,0,,水栖,静水和激流,半水栖,0,,0,0,,,,,
Hylarana spinulosa,0,,水栖,静水和激流,半水栖,0,,0,0,,,,,
Hylarana taipehensis,0,34,水栖,静水和激流,半水栖,1,5~6,0,0,34,13.7,3.2,1,0
Nidirana adenopleura,0,56,水栖,静水,半水栖,1,4~7,0,0,,,,,
Nidirana chapaensis,0,45.15,,静水,,,"4,6~7",,,,,,,
Nidirana daunchina,0,47.5,半水栖,静水,半水栖,,5~6,,,,,,,
Nidirana guangdongensis,0,55.75,水栖,静水,水栖,,4~6,,,,,,,
Nidirana guangxiensis,0,,,静水,陆栖,,,,,,,,,
Nidirana hainanensis,0,33,,,半水栖,,,,,,,,,
Nidirana leishanensis,0,51.225,,静水,水栖,,,,,,,,,
Nidirana lini,0,57,水栖,静水,半水栖,,,,,,,,,
Nidirana mangveni,0,59.525,,静水,水栖,,5~8,,,,,,,
Nidirana nankunensis,0,36.925,半水栖,静水,水栖,,,1,,,,,,
Nidirana occidentalis,0,53.6,水栖,静水,水栖,,5~7,,,,,,,
Nidirana okinavana,0,40.125,水栖,静水,陆栖,0,,0,0,,,,,
Nidirana pleuraden,0,60.5,水栖,静水,水栖,1,6~7,0,0,,,,,
Nidirana xiangica,0,58.675,,静水,水栖,,5~8,,,,,,,
Nidirana yaoica,0,43.15,,静水,半水栖,,3~5,,,,,,,
Nidirana yeae,0,43.525,,静水,水栖,,,,,,,,,
Odorrana andersonii,0,85.5,水栖,急流,水栖,0,5~6,0,0,85.45,30.8,6.15,1,0
Odorrana anlungensis,0,50,水栖,静水和激流,半水栖,0,8,0,0,50.35,18.45,4.15,1,0
Odorrana bacboensis,0,74.2,水栖,,半水栖,,10,0,0,75.35,37.2,7,2,0
Odorrana cangyuanensis,0,65.5,水栖,急流,半水栖,,,,0,66,,,2,0
Odorrana chapaensis,0,86.5,水栖,急流,半水栖,0,,0,0,86.5,32,7.8,2,0
Odorrana chloronota,0,101.7,水栖,与植物相关的水体,半水栖,,,,0,101.7,,,,0
Odorrana dulongensis,0,67.25,水栖,,树栖,,,0,0,67.525,22.64,6.24,2,0
Odorrana exiliversabilis,0,52.175,水栖,急流,半水栖,0,,0,0,53.4,19.2,4.55,1,0
Odorrana fengkaiensis,0,69.725,水栖,静水和激流,半水栖,,5~8,0,0,73.3,27.45,6.6,2,0
Odorrana geminata,0,84.05,水栖,急流,树栖,,4~5,0,0,84.25,31.4,8.15,2,0
Odorrana grahami,0,87,水栖,急流,水栖,0,6,0,0,82.15,28.8,6.1,3,0
Odorrana graminea,0,69.5,水栖,急流,半水栖,0,5~6,0,0,69.55,25.9,6.35,2,0
Odorrana hainanensis,0,79.5,水栖,静水和激流,半水栖,0,9,0,0,79.4,26.9,6.35,2,0
Odorrana hejiangensis,0,66,水栖,静水和激流,半水栖,0,5,0,0,67.05,23.2,5.25,2,0
Odorrana huanggangensis,0,64.675,水栖,静水和激流,半水栖,0,7~8,0,0,64.75,21.75,5.3,2,0
Odorrana ichangensis,0,62.675,水栖,静水和激流,半水栖,,6~8,0,0,62.65,21.05,4.95,2,0
Odorrana jingdongensis,0,86,水栖,静水和激流,半水栖,0,5,0,0,85.9,30.65,7.2,2,0
Odorrana junlianensis,0,87,水栖,静水和激流,半水栖,1,5~9,0,0,85.05,31.8,6.55,2,0
Odorrana kuangwuensis,0,62.95,水栖,静水和激流,半水栖,0,,0,0,62.95,23.15,6.75,2,0
Odorrana kweichowensis,0,55.75,水栖,静水和激流,半水栖,,,0,0,57.25,21.975,4.35,2,0
Odorrana leporipes,0,77,水栖,,半水栖,,3~6,,0,,,,,0
Odorrana liboensis,0,52.35,水栖,静水,半水栖,,6~8,0,0,52.8,19.1,6.75,2,0
Odorrana lipuensis,0,48.725,水栖,静水,半水栖,,5~7,0,0,48.75,17.15,4.05,2,0
Odorrana lungshengensis,0,71.5,水栖,急流,半水栖,0,6~7,0,0,71.55,24.55,6.2,2,0
Odorrana macrotympana,0,71.8,水栖,急流,水栖,,,,0,71.8,,,,0
Odorrana margaretae,0,92,水栖,急流,半水栖,1,12,0,0,92.4,31.65,8.4,2,0
Odorrana nanjiangensis,0,67.1,水栖,静水和激流,半水栖,0,,0,0,65.1,23.15,5.4,1,0
Odorrana nasica,0,46,水栖,,陆栖,,,0,0,61.4,21.475,5,2,0
Odorrana nasuta,0,66.75,水栖,静水和激流,半水栖,0,5,0,0,66.3,23.5,5.5,1,0
Odorrana rotodora,0,71.25,水栖,静水和激流,水栖,0,,0,0,,,,,
Odorrana sangzhiensis,0,65.8,水栖,急流,半水栖,,7~8,0,0,66.1,20.5,5.55,2,0
Odorrana schmackeri,0,62,水栖,急流,半水栖,0,7~8,0,0,62.3,22.7,5.4,2,0
Odorrana swinhoana,1,67,水栖,急流,半水栖,0,11~1,0,0,66.9,25.65,5.55,2,0
Odorrana tianmuii,0,65.25,水栖,静水和激流,半水栖,0,7,0,0,58.45,20.4,4.85,2,0
Odorrana tiannanensis,0,76,水栖,急流,半水栖,0,5,0,0,75.85,28.95,6.4,2,0
Odorrana tormota,0,42.75,水栖,静水和激流,陆栖,0,4~5,0,0,46.65,17.45,4.35,2,0
Odorrana versabilis,0,76.5,水栖,急流,半水栖,0,3,0,0,76.45,27.45,5.5,1,0
Odorrana wuchuanensis,0,78.325,水栖,静水和激流,半水栖,0,5~8,0,0,78.8,28.4,6.7,2,0
Odorrana yentuensis,0,53.325,水栖,静水和激流,半水栖,,,,,,,,,
Odorrana yizhangensis,0,59.4,水栖,静水和激流,半水栖,0,6~7,0,0,59.4,21.6,5.1,2,0
Pelophylax fukienensis,0,56,水栖,静水,水栖,0,4~6,0,0,55.7,21.7,3.1,2,0
Pelophylax hubeiensis,0,46.5,水栖,静水,水栖,0,4~7,0,0,46.6,17.65,2.35,2,0
Pelophylax nigromaculatus,0,68,水栖,静水,半水栖,0,3~4,0,0,68.35,26.4,4.7,1,0
Pelophylax plancyi,0,61,水栖,静水,水栖,0,4~6,0,0,61.15,21.95,3.05,3,0
Pelophylax tenggerensis,0,63.8,水栖,静水,半水栖,,,1,0,66.2,23.5,2.8,2,0
Pelophylax terentievi,0,59,水栖,静水,水栖,0,5,0,0,65.65,25,3.55,1,0
Rana amurensis,0,59,水栖,静水,半水栖,0,4~5,0,0,60.2,19.15,3.15,2,0
Rana arvalis,0,47.5,水栖,静水,半水栖,0,3~6,0,0,48.25,16.6,3.2,1,0
Rana asiatica,0,55.75,水栖,静水和激流,水栖,0,3~4,0,0,55.8,19.6,2.9,,0
Rana chaochiaoensis,0,53.25,水栖,静水,陆栖,0,"4~5,10~11",0,0,53.25,18.3,2.95,3,0
Rana chensinensis,0,50.25,水栖,静水和激流,半水栖,0,2~7,0,0,48.5,16.4,3.5,3,0
Rana chevronta,0,49,水栖,静水,陆栖,0,3,0,0,49.15,16.65,3.95,2,0
Rana coreana,0,42.85,水栖,静水,半水栖,0,3~6,0,0,42.85,14.15,3,,0
Rana culaiensis,0,57.9,水栖,静水,半水栖,,3~4,0,0,57.82,17.225,4.075,,0
Rana dabieshanensis,0,58.75,水栖,静水和激流,半水栖,,8,0,0,58.9,18.3,4.45,2,0
Rana dybowskii,0,66.25,水栖,静水和激流,半水栖,0,4~5,0,0,64.85,20.2,3.75,1,0
Rana hanluica,0,64.45,水栖,静水,半水栖,,10,0,0,60.05,21.2,3.95,,0
Rana huanrensis,0,44.25,水栖,静水和激流,半水栖,0,3~4,0,0,44.05,14.35,3.25,2,0
Rana jiemuxiensis,0,43.3,水栖,静水,半水栖,0,,0,0,44,13.31,5.74,2,0
Rana jiulingensis,0,52.95,水栖,,陆栖,,,0,0,51.25,19.475,3.225,,0
Rana johnsi,0,,半水栖,静水和激流,陆栖,0,8~9,0,0,48.2,16.95,3.65,,0
Rana kukunoris,0,59,水栖,静水,半水栖,0,3~5,0,0,59.1,18.25,3.75,1,0
Rana longicrus,0,45,水栖,静水,半水栖,0,12~1,0,0,44.7,13.75,,2,0
Rana luanchuanensis,0,31.275,水栖,静水和激流,水栖,,11,0,0,31.3,10.1,3.15,,0
Rana maoershanensis,0,52.25,水栖,静水,陆栖,,12~1,0,0,52.15,15.8,3.55,,0
Rana omeimontis,0,68.75,水栖,静水,陆栖,0,8~9,0,0,63.4,21.35,3.9,1,0
Rana sangzhiensis,0,49.35,水栖,静水和激流,陆栖,0,8,0,0,,,,,
Rana sauteri,0,45.5,水栖,静水和激流,陆栖,0,4~5,0,0,45.25,17.1,3.9,,0
Rana shuchinae,0,36.5,半水栖,静水,水栖,1,4~7,0,0,37.95,12.25,2.9,2,0
Rana weiningensis,0,37.5,水栖,静水和激流,半水栖,0,2,0,0,,,,,
Rana wuyiensis,0,46.225,水栖,静水和激流,半水栖,,7~8,0,0,45.95,13.45,4.25,,0
Rana zhengi,0,43,水栖,静水,树栖,,8~9,0,0,43,23.6,4.25,,0
Rana zhenhaiensis,0,48.25,水栖,静水,陆栖,0,12~4,0,0,47.25,16.2,2.8,2,0
Buergeria choui,0,30.1,水栖,静水,树栖,,3~11,0,0,29.9,35.75,7.45,2,0
Buergeria japonica,0,32.5,水栖,静水和激流,半水栖,1,4~8,0,0,32.3,11.95,,2,0
Buergeria otai,1,29.9,水栖,静水,半水栖,,2~10,0,0,29.9,10.4,2.5,2,0
Buergeria oxycephala,1,50,水栖,静水,半水栖,1,甚长,0,0,50.5,18.25,4.3,1,0
Buergeria robusta,1,61,水栖,静水和激流,半水栖,1,5~7,0,0,58.65,16.9,,2,0
Chirixalus doriae,0,28.75,半水栖,静水,半水栖,1,5~6,,,,,,,
Feihyla fuhua,0,26.5,树栖,静水,树栖,0,,0,0,26.8,9.2,3.2,2,0
Feihyla palpebralis,0,27,树栖,静水,树栖,,,0,0,26.8,9.2,3.2,2,0
Gracixalus gracilipes,0,26,树栖,静水,树栖,0,4~5,0,0,22,9.05,3.85,2,0
Gracixalus guangdongensis,0,32.775,树栖,静水,树栖,,4~8,0,0,33.05,11.55,3.8,2,0
Gracixalus jinggangensis,0,31.225,,静水,树栖,,5~6,0,0,31.25,10.5,3.85,2,0
Gracixalus jinxiuensis,0,26.75,水栖,静水,树栖,0,,0,0,26.45,9.85,3.05,1,0
Gracixalus medogensis,0,27,,静水,陆栖,,,0,0,26.5,9.4,3,2,0
Gracixalus nonggangensis,0,34.2,树栖,静水,陆栖,,,0,0,33.8,12.7,,2,0
Gracixalus quangi,0,25.325,,,树栖,,,,,,,,,
Gracixalus tianlinensis,0,35.125,,静水,陆栖,,5~6,0,0,34.55,12.2,3.95,2,0
Gracixalus yunnanensis,0,30.1,水栖,静水,陆栖,,,0,0,26.9,7.8,2.5,2,0
Kurixalus berylliniris,0,36.3,树栖,静水,树栖,,11~2,1,0,36.1,9.3,4.25,2,0
Kurixalus bisacculus,0,17.9,树栖,,树栖,,,,0,33.2,10.4,3.4,2,0
Kurixalus eiffingeri,0,32,树栖,静水,树栖,1,,1,0,32.9,12.65,3.9,2,0
Kurixalus hainanus,0,39.4,,,树栖,,,,,,,,,
Kurixalus idiootocus,1,31.75,陆栖,静水,树栖,1,3~9,0,0,31.75,9.25,,2,0
Kurixalus lenquanensis,0,26.95,树栖,静水,树栖,,,,0,27,8.5,2.9,2,0
Kurixalus naso,0,43,树栖,静水和激流,树栖,,,,0,31.3,10.5,3.1,2,0
Kurixalus odontotarsus,0,37.5,水栖,静水和激流,树栖,0,,0,0,37.55,12.6,3.7,2,0
Kurixalus qionglaiensis,0,29.825,,,树栖,,,,,,,,,
Kurixalus raoi,0,34.4,水栖,静水,陆栖,,,,0,34.4,10.6,3.65,2,0
Kurixalus verrucosus,0,41,,静水,树栖,,,,0,41,,,2,0
Kurixalus silvaenaias,0,,树栖,静水,树栖,,,,0,31.2,10.7,,2,0
Kurixalus wangi,1,32.025,树栖,静水,树栖,,9~3,1,0,32.15,8.6,4.1,2,0
Kurixalus yangi,0,33.15,树栖,静水,树栖,,,,0,33.2,10,3.3,2,0
Liuixalus feii,0,17.6,水栖,静水,陆栖,,4~10,0,0,17.6,6.75,2.29,,0
Liuixalus hainanus,1,18,水栖,静水,树栖,,,0,0,17.9,6.95,2.3,,0
Liuixalus ocellatus,0,18.5,树栖,与植物相关的水体,树栖,0,,0,0,18.4,7.05,2.3,1,0
Liuixalus romeri,0,18.25,水栖,静水,半水栖,1,3~9,0,0,18.05,6,2.8,2,0
Liuixalus shiwandashan,0,18.375,水栖,静水,水栖,,,0,0,18.35,7.2,4.1,,0
Nasutixalus medogensis,0,45,,,,,,,,,,,,
Nasutixalus yingjiangensis,0,43.625,,,,,4,,,,,,,
Philautus kempii,0,,水栖,,,,,,0,15,,,2,0
Polypedates braueri,0,56,树栖,静水,树栖,0,,0,0,54.84,19.3,6.93,2,0
Polypedates impresus,0,62.25,水栖,静水,陆栖,,,0,0,69.59,23.11,8.11,2,0
Polypedates megacephalus,0,52.75,半水栖,静水,陆栖,1,4~9,0,0,54.45,18.75,6.55,2,0
Polypedates mutus,0,61.25,陆栖,静水,树栖,0,5~7,0,0,66.8,22.95,7.9,2,0
Raorchestes andersoni,0,24,,静水和激流,树栖,,,,0,,,,2,0
Raorchestes cangyuanensis,0,18.05,,静水和激流,半水栖,,,,0,18.5,6.2,2.37,2,0
Raorchestes dulongensis,0,17,半水栖,,陆栖,,,1,0,16.8,6,2.4,2,0
Raorchestes hillisi,0,17.15,水栖,,树栖,,,,0,16.95,7,2.2,2,0
Raorchestes huanglianshan,0,19.9,半水栖,,树栖,,,,0,19.85,7.45,2.8,2,0
Raorchestes longchuanensis,0,19.5,水栖,静水,树栖,0,5~9,0,0,19.8,7.7,2.9,2,0
Raorchestes menglaensis,0,18,水栖,静水和激流,树栖,1,,0,0,18.05,7.1,2.35,2,0
Rhacophorus bipunctatus,0,44.025,树栖,静水,树栖,0,,0,0,,,,2,0
Rhacophorus kio,0,76.75,树栖,静水,树栖,1,5~6,0,0,74.75,24.3,8.9,1,0
Rhacophorus laoshan,0,35,树栖,静水,树栖,0,5,0,0,35.1,12.8,4.3,2,0
Rhacophorus rhodopus,0,39.5,树栖,静水,树栖,1,5~8,0,0,41.7,14.45,4.8,2,0
Rhacophorus translineatus,0,58.75,树栖,静水,树栖,1,5~8,0,0,58.95,20.05,6.15,2,0
Rhacophorus tuberculatus,0,45,树栖,静水,树栖,,,0,0,45,,,2,0
Rhacophorus verrucopus,0,37,树栖,静水,陆栖,,,0,0,37,12.1,3.8,2,0
Rohanixalus vittatus,0,25,,,,,,,,,,,,
Theloderma albopunctatum,0,33,水栖,静水,树栖,0,,0,0,32.5,12.5,3.7,2,0
Theloderma baibungense,0,15.5,水栖,静水,陆栖,,,0,0,15.6,6.6,2.2,2,0
Theloderma bicolor,0,,,,树栖,,,,,,,,,
