scientific_name,island_special,body_length,SpawnLoc,Young_site,Adult_site,mature_period,mate_month,parent_exist,fert_mode, snout-vent length,hindlimb length,interorbital distance,activity time,TAIL
Paramesotriton guangxiensis,0,133.25,水栖,静水和激流,水栖,0,,0,1,71.4,21.55,4.45,2,1
Paramesotriton hongkongensis,0,124.75,水栖,静水和激流,水栖,1,6~3,0,1,65.95,16.4,5.1,2,1
Paramesotriton labiatus,0,127.15,水栖,静水和激流,水栖,0,,0,1,58.8,,,2,1
Paramesotriton longliensis,0,119.5,水栖,静水,水栖,0,4~6,0,1,67.45,21.5,5.45,2,1
Paramesotriton maolanensis,0,193.65,水栖,,水栖,,,0,1,104.4,35.15,9.35,2,1
Paramesotriton qixilingensis,0,143.655,水栖,,水栖,,7~9,0,1,69.3,19.8,,1,1
Paramesotriton wulingensis,0,128.25,水栖,,水栖,,,0,1,70.45,20.3,5,2,1
Paramesotriton yunwuensis,0,164.275,水栖,静水和激流,水栖,0,,0,1,91.2,27.95,6.1,1,1
Paramesotriton zhijinensis,0,114.375,水栖,静水,水栖,0,4~6,0,1,62.6,19.15,5.6,2,1
Tylototriton anhuiensis,0,133.5,,,陆栖,,,,,,,,,
Tylototriton asperrimus,0,128,陆栖,静水和激流,陆栖,1,,0,,,,,,
Tylototriton broadoridgus,0,137.75,水栖,静水,陆栖,0,4~6,1,1,74.9,19.25,7.65,2,1
Tylototriton dabienicus,0,145.2,水栖,静水,陆栖,,,0,1,76.1,20.4,8.1,,1
Tylototriton hainanensis,0,137.5,陆栖,静水和激流,陆栖,1,5,0,1,75.75,18.15,,,1
Tylototriton kweichowensis,0,184.25,水栖,静水和激流,半水栖,0,5~6,0,1,103.5,19.35,,1,1
Tylototriton liuyangensis,0,137.35,水栖,静水,陆栖,,5~6,,1,76.7,18,9.1,,1
Tylototriton lizhenchangi,0,156.275,,,水栖,,5~6,,,,,,,
Tylototriton maolanensis,0,81.425,,静水,水栖,,,,,,,,,
